operacion;estado;t_ini;t_fin;puerto_maquina;busqueda;tipo_busqueda;cant_resultados;tamano_respuesta_bytes;edad;ranking;database
mandar_resultados_a_master;success;2025-05-11 17:27:32.929663;2025-05-11 17:27:32.930646;8007;trasnformaciones interestelasres del viento como enigma;titulo;0;56;32;;
busqueda en db;success;2025-05-11 17:28:32.008027;2025-05-11 17:28:32.008542;8007;blockchain entre cartas del legado cultural de nikola tesla;titulo;;;43;4.275;romance
busqueda en db;success;2025-05-11 17:28:32.013345;2025-05-11 17:28:32.013345;8007;blockchain entre cartas del legado cultural de nikola tesla;titulo;;;43;4.2;romance
busqueda en db;success;2025-05-11 17:28:32.014419;2025-05-11 17:28:32.014419;8007;blockchain entre cartas del legado cultural de nikola tesla;titulo;;;43;4.254;romance
busqueda en db;success;2025-05-11 17:28:32.015364;2025-05-11 17:28:32.015364;8007;blockchain entre cartas del legado cultural de nikola tesla;titulo;;;43;4.475;tecnologia
mandar_resultados_a_master;success;2025-05-11 17:28:32.008027;2025-05-11 17:28:32.015364;8007;blockchain entre cartas del legado cultural de nikola tesla;titulo;4;88;43;;
busqueda en db;success;2025-05-11 17:28:50.970709;2025-05-11 17:28:50.970709;8007;romance;tipo_doc;;;53;19.387;romance
busqueda en db;success;2025-05-11 17:28:50.971706;2025-05-11 17:28:50.972214;8007;romance;tipo_doc;;;53;18.975;romance
busqueda en db;success;2025-05-11 17:28:50.972214;2025-05-11 17:28:50.972214;8007;romance;tipo_doc;;;53;17.738;romance
busqueda en db;success;2025-05-11 17:28:50.972214;2025-05-11 17:28:50.972214;8007;romance;tipo_doc;;;53;18.562;romance
busqueda en db;success;2025-05-11 17:28:50.973221;2025-05-11 17:28:50.973221;8007;romance;tipo_doc;;;53;18.15;romance
busqueda en db;success;2025-05-11 17:28:50.973221;2025-05-11 17:28:50.973221;8007;romance;tipo_doc;;;53;19.8;romance
busqueda en db;success;2025-05-11 17:28:50.974222;2025-05-11 17:28:50.974222;8007;romance;tipo_doc;;;53;17.325;romance
busqueda en db;success;2025-05-11 17:28:50.974222;2025-05-11 17:28:50.974222;8007;romance;tipo_doc;;;53;16.5;romance
busqueda en db;success;2025-05-11 17:28:50.975222;2025-05-11 17:28:50.975222;8007;romance;tipo_doc;;;53;16.912;romance
busqueda en db;success;2025-05-11 17:28:50.975222;2025-05-11 17:28:50.975222;8007;romance;tipo_doc;;;53;17.738;romance
mandar_resultados_a_master;success;2025-05-11 17:28:50.970709;2025-05-11 17:28:50.976222;8007;romance;tipo_doc;10;88;53;;
busqueda en db;success;2025-05-11 17:28:51.362679;2025-05-11 17:28:51.362679;8007;tecnologia;tipo_doc;;;53;19.8;tecnologia
busqueda en db;success;2025-05-11 17:28:51.362679;2025-05-11 17:28:51.362679;8007;tecnologia;tipo_doc;;;53;18.48;tecnologia
busqueda en db;success;2025-05-11 17:28:51.363624;2025-05-11 17:28:51.363624;8007;tecnologia;tipo_doc;;;53;21.12;tecnologia
busqueda en db;success;2025-05-11 17:28:51.363624;2025-05-11 17:28:51.363624;8007;tecnologia;tipo_doc;;;53;20.24;tecnologia
busqueda en db;success;2025-05-11 17:28:51.364625;2025-05-11 17:28:51.364625;8007;tecnologia;tipo_doc;;;53;19.36;tecnologia
